claim_status,video_duration_sec,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,text_length,clean_text
claim,59,not verified,under review,343296.0,19425.0,241.0,1.0,0.0,97,someone shared drone delivery already happening become common 2025
claim,32,not verified,active,140877.0,77355.0,19034.0,1161.0,684.0,107,someone shared microorganism one teaspoon soil people planet
claim,31,not verified,active,902185.0,97690.0,2858.0,833.0,329.0,137,someone shared american industrialist andrew carnegie net worth 475 million usd worth 300 billion usd today
claim,25,not verified,active,437506.0,239954.0,34812.0,1234.0,584.0,131,someone shared metro st petersburg average depth hundred meter deepest metro world
claim,19,not verified,active,56167.0,34987.0,4110.0,547.0,152.0,128,someone shared number business allowing employee bring pet workplace grown 6 worldwide
claim,35,not verified,under review,336647.0,175546.0,45382.5,2880.125,728.5,127,someone shared gross domestic product gdp best financial indicator country overall trade potential
claim,16,not verified,active,750345.0,311333.875,45382.5,2880.125,728.5,95,someone shared elvis presley sold record music band beatles
claim,41,not verified,active,547532.0,1072.0,50.0,22.0,11.0,99,someone shared best selling single time white christmas bing crosby
claim,50,not verified,active,24819.0,10160.0,1050.0,53.0,27.0,103,someone shared half world population access web via mobile device
claim,45,verified,active,931587.0,171051.0,45382.5,2880.125,728.5,102,someone shared would take 50 petabyte drive store every written work ever created
claim,47,not verified,active,695641.0,238030.0,23062.0,1719.0,378.0,83,someone shared average user spends 40 day internet
claim,30,not verified,active,482046.0,168107.0,19474.0,2880.125,532.0,87,someone shared world generates 2 5 quintillion byte data every day
claim,51,not verified,active,700081.0,311333.875,45382.5,2408.0,728.5,77,someone shared longest recorded cricket match lasted 14 day
claim,20,not verified,under review,929685.0,311333.875,45382.5,1225.0,728.5,107,someone shared 1920 last time event tug war played summer olympics
claim,42,not verified,active,937231.0,237318.0,45382.5,1867.0,728.5,98,someone shared american basketball legend wilt chamberlain never fouled game
claim,10,not verified,active,746186.0,193.0,29.0,2.0,0.0,100,someone shared city largest bus network world jakarta indonesia
claim,11,not verified,active,923007.0,67714.0,17710.0,845.0,536.0,87,someone shared dog sense smell much powerful human
claim,27,not verified,active,467702.0,40435.0,2804.0,495.0,327.0,71,someone shared common garden snail 12 000 teeth
claim,11,not verified,active,168594.0,105245.0,37929.0,1723.0,694.0,65,someone shared see side moon
claim,34,not verified,active,249935.0,20437.0,2240.0,212.0,70.0,63,someone shared moon part earth
claim,27,not verified,active,550259.0,30528.0,6704.0,258.0,88.0,80,someone shared neptune radiates heat get sun
claim,20,not verified,active,510989.0,162612.0,26745.0,2507.0,728.5,93,someone shared star universe grain sand earth
claim,52,not verified,banned,60096.0,34245.0,11345.0,219.0,77.0,102,someone shared year asteroid size car enters earth atmosphere
claim,54,not verified,active,750942.0,136252.0,27119.0,2637.0,728.5,84,someone shared season reindeer eye change color
claim,39,not verified,active,353722.0,39844.0,10399.0,181.0,54.0,89,someone shared elephant console stressful situation
claim,33,not verified,active,506061.0,288150.0,39351.0,2405.0,728.5,90,someone shared avocado never ripen still attached tree
claim,10,not verified,under review,50892.0,7976.0,2903.0,125.0,78.0,118,someone shared people born 2 natural fear fear falling fear loud sound
claim,22,not verified,under review,812056.0,311333.875,3515.0,2880.125,728.5,100,someone shared sneezing traveling 60 mph make close eye 50 foot
claim,21,not verified,active,677855.0,311333.875,45382.5,2880.125,728.5,62,someone shared people sneeze sleep
claim,48,not verified,active,74323.0,20940.0,3678.0,274.0,63.0,71,someone shared birth baby panda smaller mouse
claim,55,not verified,active,573518.0,311333.875,45382.5,2880.125,728.5,74,someone shared microwave oven accidental invention
claim,21,not verified,banned,376637.0,226700.0,45382.5,2060.0,278.0,85,someone shared blue whale heartbeat heard two mile away
claim,23,not verified,active,781955.0,311333.875,45382.5,2880.125,728.5,99,someone shared longest location name planet earth 85 letter english
claim,33,not verified,active,822795.0,311333.875,45382.5,2880.125,728.5,82,someone shared red billed quelea common bird earth
claim,10,not verified,active,418750.0,133645.0,27821.0,2387.0,206.0,103,someone shared japan considered good luck sumo wrestler make baby cry
claim,12,not verified,active,535825.0,73157.0,1642.0,1573.0,97.0,87,someone shared bubble wrap originally designed used wallpaper
claim,29,not verified,active,924262.0,311333.875,37874.0,2880.125,635.0,82,someone shared human jumped horse olympics
claim,30,not verified,active,489267.0,110476.0,17911.0,2585.0,90.0,119,someone shared one armed player scored winning goal first soccer tournament world cup 1930
claim,20,not verified,active,879368.0,311333.875,45382.5,2880.125,728.5,110,someone shared job field agriculture prevalent type job world
claim,20,not verified,active,135682.0,50881.0,7713.0,944.0,324.0,74,someone shared eye ostrich bigger brain
claim,25,not verified,under review,289935.0,3484.0,1092.0,20.0,3.0,92,someone shared largest pair eye world belongs giant squid
claim,34,not verified,active,903941.0,311333.875,32446.0,2880.125,728.5,66,someone shared buttermilk contain butter
claim,46,not verified,active,704320.0,161850.0,19294.0,2880.125,566.0,80,someone shared one strand hair hold 3 ounce weight
claim,5,not verified,under review,609453.0,262718.0,45382.5,826.0,99.0,64,someone shared bottled water expiration date
claim,31,not verified,active,790372.0,24067.0,4167.0,434.0,236.0,74,someone shared driving south detroit lead canada
claim,34,not verified,under review,750369.0,271101.0,45382.5,1482.0,426.0,62,someone shared sea otter born unable swim
claim,17,not verified,under review,630556.0,67394.0,16130.0,1197.0,720.0,55,someone shared apple seed contain cyanide
claim,52,not verified,active,853104.0,45589.0,16274.0,758.0,163.0,131,someone shared alaska u state whose name typed single row american standard keyboard
claim,18,not verified,active,636117.0,311333.875,12659.0,105.0,65.0,113,someone shared 20 power outage u due squirrel chewing line
claim,36,not verified,active,658349.0,231224.0,45382.5,2880.125,728.5,71,someone shared largest living thing earth tree
claim,17,not verified,active,472376.0,210080.0,37155.0,2880.125,728.5,94,someone shared ketchup leaf bottle measured speed 25 mile per year
claim,53,not verified,active,984793.0,311333.875,15329.0,521.0,30.0,82,someone shared town calama chile never experienced rain
claim,40,not verified,active,301749.0,27047.0,1544.0,230.0,18.0,86,friend shared friend yellowstone national park home supervolcano
claim,54,not verified,active,971357.0,111164.0,13178.0,2338.0,728.5,76,friend shared friend largest rock earth australia
claim,29,not verified,active,302525.0,23738.0,673.0,314.0,118.0,118,friend shared friend average british driver spend around 99 day life stuck traffic
claim,39,not verified,active,578064.0,269616.0,45382.5,2880.125,728.5,74,friend shared friend windshield wiper invented 1905
claim,25,not verified,active,205584.0,49255.0,5072.0,1186.0,223.0,86,friend shared friend origin banjo instrument begin africa
claim,12,not verified,active,422117.0,112780.0,26052.0,1038.0,380.0,90,friend shared friend average user spends 40 day internet
